movie_id,genre
167260,Fantasy
167261,Action
167261,Adventure
167261,Drama
167261,Fantasy
1121096,Action
1121096,Adventure
1121096,Fantasy
146316,Action
146316,Adventure
146316,Fantasy
146316,Thriller
2209764,Drama
2209764,Mystery
2209764,Romance
2209764,Sci-Fi
2209764,Thriller
163025,Action
163025,Adventure
163025,Sci-Fi
163025,Thriller
1318514,Action
1318514,Drama
1318514,Sci-Fi
1318514,Thriller
416236,Adventure
416236,Family
416236,Fantasy
1606378,Action
1606378,Thriller
317705,Action
317705,Adventure
317705,Animation
317705,Family
112760,Action
112760,Adventure
112760,Comedy
814255,Adventure
814255,Family
814255,Fantasy
119654,Adventure
119654,Comedy
119654,Family
119654,Mystery
119654,Sci-Fi
120363,Adventure
120363,Animation
120363,Comedy
120363,Family
120363,Fantasy
477080,Action
477080,Thriller
266915,Action
266915,Comedy
266915,Crime
266915,Thriller
161081,Drama
161081,Fantasy
161081,Horror
161081,Mystery
161081,Thriller
844471,Animation
844471,Comedy
844471,Family
844471,Sci-Fi
1080016,Action
1080016,Adventure
1080016,Animation
1080016,Comedy
1080016,Family
359950,Adventure
359950,Comedy
359950,Drama
359950,Fantasy
359950,Romance
160127,Action
160127,Adventure
160127,Comedy
160127,Crime
160127,Thriller
407887,Crime
407887,Drama
407887,Thriller
120762,Adventure
120762,Animation
120762,Family
120762,Fantasy
120762,Musical
120762,War
942385,Action
942385,Comedy
1568346,Crime
1568346,Drama
1568346,Mystery
1568346,Thriller
112864,Action
112864,Adventure
112864,Thriller
988045,Action
988045,Adventure
988045,Crime
988045,Mystery
988045,Thriller
230011,Action
230011,Adventure
230011,Animation
230011,Family
230011,Fantasy
230011,Sci-Fi
2974918,Adventure
2974918,Animation
2974918,Comedy
2974918,Family
2974918,Fantasy
2974918,Music
985699,Drama
985699,History
985699,Thriller
985699,War
960144,Action
960144,Comedy
2120120,Action
2120120,Animation
2120120,Comedy
2120120,Sci-Fi
212720,Adventure
212720,Drama
212720,Sci-Fi
338094,Comedy
338094,Family
338094,Fantasy
338094,Horror
338094,Mystery
118884,Drama
118884,Mystery
118884,Sci-Fi
118884,Thriller
164052,Action
164052,Horror
164052,Sci-Fi
164052,Thriller
373926,Crime
373926,Mystery
373926,Thriller
1854564,Adventure
1854564,Family
1854564,Fantasy
325703,Action
325703,Adventure
325703,Fantasy
3110958,Action
3110958,Adventure
3110958,Comedy
3110958,Crime
3110958,Mystery
3110958,Thriller
120053,Action
120053,Adventure
120053,Romance
120053,Sci-Fi
120053,Thriller
266987,Action
266987,Crime
266987,Thriller
183523,Adventure
183523,Sci-Fi
183523,Thriller
1436562,Adventure
1436562,Animation
1436562,Comedy
1436562,Family
1436562,Musical
182789,Comedy
182789,Drama
182789,Sci-Fi
120461,Action
120461,Drama
120461,Sci-Fi
120461,Thriller
118972,Action
118972,Crime
118972,Drama
118972,Thriller
267626,Drama
267626,History
267626,Thriller
267626,War
1502712,Action
1502712,Adventure
1502712,Sci-Fi
352248,Biography
352248,Drama
352248,Sport
1041804,Action
1041804,Family
1041804,Fantasy
1041804,Musical
329575,Drama
329575,History
329575,Sport
117998,Action
117998,Adventure
117998,Drama
117998,Thriller
162222,Adventure
162222,Drama
162222,Romance
366548,Animation
366548,Comedy
366548,Family
366548,Music
366548,Romance
372183,Action
372183,Mystery
372183,Thriller
118571,Action
118571,Adventure
118571,Drama
118571,Thriller
240772,Crime
240772,Thriller
1509767,Action
1509767,Adventure
1509767,Romance
837562,Animation
837562,Comedy
837562,Family
837562,Fantasy
461770,Animation
461770,Comedy
461770,Family
461770,Fantasy
461770,Musical
461770,Romance
2243973,Crime
2243973,Drama
2243973,Horror
2243973,Mystery
2243973,Thriller
1599348,Action
1599348,Crime
1599348,Mystery
1599348,Thriller
211181,Adventure
211181,Comedy
211181,Family
471042,Action
471042,Comedy
471042,Crime
457939,Comedy
457939,Romance
120660,Action
120660,Crime
120660,Drama
120660,Mystery
120660,Thriller
1230414,Comedy
1230414,Drama
1230414,Romance
496806,Crime
496806,Thriller
400717,Adventure
400717,Animation
400717,Comedy
400717,Family
1840309,Adventure
1840309,Mystery
1840309,Sci-Fi
215750,Drama
215750,History
215750,War
327850,Action
327850,Adventure
327850,Comedy
327850,Thriller
107362,Action
107362,Adventure
107362,Comedy
107362,Fantasy
397535,Drama
397535,Romance
463985,Action
463985,Crime
463985,Thriller
1430607,Adventure
1430607,Animation
1430607,Comedy
1430607,Family
1430607,Fantasy
119643,Drama
119643,Fantasy
119643,Romance
233469,Action
233469,Drama
233469,Thriller
78754,Comedy
78754,Drama
78754,Music
78754,Musical
1667353,Adventure
1667353,Comedy
1667353,Drama
1667353,Family
1667353,Fantasy
446029,Action
446029,Comedy
446029,Fantasy
446029,Romance
298814,Action
298814,Adventure
298814,Sci-Fi
298814,Thriller
144528,Comedy
144528,Romance
144528,Sci-Fi
267913,Adventure
267913,Comedy
267913,Mystery
389860,Comedy
389860,Drama
389860,Fantasy
389860,Romance
1287468,Action
1287468,Comedy
1287468,Family
1287468,Fantasy
489099,Action
489099,Adventure
489099,Sci-Fi
489099,Thriller
411477,Action
411477,Adventure
411477,Fantasy
411477,Horror
411477,Sci-Fi
443706,Crime
443706,Drama
443706,History
443706,Mystery
443706,Thriller
216216,Action
216216,Mystery
216216,Sci-Fi
216216,Thriller
315327,Comedy
315327,Drama
1320253,Action
1320253,Adventure
1320253,Thriller
117060,Action
117060,Adventure
117060,Thriller
1392170,Adventure
1392170,Drama
1392170,Sci-Fi
1392170,Thriller
1411697,Comedy
103776,Action
327084,Adventure
327084,Animation
327084,Comedy
327084,Family
275847,Adventure
275847,Animation
275847,Comedy
275847,Drama
275847,Family
275847,Fantasy
275847,Sci-Fi
413895,Comedy
413895,Family
413895,Fantasy
120647,Action
120647,Drama
120647,Romance
120647,Sci-Fi
120647,Thriller
1821694,Action
1821694,Comedy
1821694,Crime
1821694,Thriller
398165,Comedy
398165,Crime
398165,Sport
1615918,Adventure
1615918,Animation
1615918,Comedy
1615918,Family
1615918,Fantasy
1615918,Music
2191701,Comedy
425061,Action
