movie_id,director
1135503,Nora Ephron
453562,Brian Helgeland
134119,Anthony Minghella
2096672,Bobby Farrelly
397313,Frank Marshall
2361509,Nancy Meyers
2869728,Tim Story
104691,Michael Mann
350258,Taylor Hackford
401792,Frank Miller
443274,Pete Travis
1155056,John Hamburg
256380,Bobby Farrelly
102138,Oliver Stone
421729,John Whitesell
236493,Gore Verbinski
1809398,Angelina Jolie Pitt
974661,Burr Steers
2203939,Nick Cassavetes
1144884,David R. Ellis
3682448,Steven Spielberg
159273,John Moore
1226229,Nicholas Stoller
358135,Peter Chelsom
122718,Joe Dante
120177,Mark A.Z. Dippé
245844,Kevin Reynolds
1189340,Brad Furman
482571,Christopher Nolan
2170439,Sean Anders
765446,Cal Brunker
472043,Mel Gibson
93428,John Glen
1424381,Nimród Antal
91396,Ivan Reitman
363988,David Koepp
410297,Alejandro Agresti
397101,Iain Softley
1462769,Peter Hedges
866439,Paul Weiland
1742044,Clint Eastwood
119978,Francis Ford Coppola
348836,Mathieu Kassovitz
118607,Steven Spielberg
104839,John McTiernan
758730,Colin Strause
110989,Donald Petrie
174480,Joan Chen
758766,Marc Lawrence
1092026,Greg Mottola
1694020,Anne Fletcher
1262416,Wes Craven
134273,Joel Schumacher
101761,Oliver Stone
1956620,Jake Kasdan
162983,Diane Keaton
1622979,Steven Quale
130121,Kelly Makin
223897,Mimi Leder
332047,Bobby Farrelly
817538,Steven Brill
2557490,Seth MacFarlane
111143,Russell Mulcahy
477302,Stephen Daldry
1126618,Roger Michell
430308,Jim Sheridan
160009,Christian Duguay
294870,Chris Columbus
163983,Chuck Russell
129280,Sam Weisman
116654,John Frankenheimer
246544,Peter Hyams
467200,Justin Chadwick
