movie_id,actor
146316,Chris Barrie
2209764,Morgan Freeman
2209764,Johnny Depp
2209764,Clifton Collins Jr.
163025,Trevor Morgan
163025,Michael Jeter
163025,Alessandro Nivola
1318514,David Oyelowo
1318514,James Franco
1318514,Tyler Labine
416236,Tod Fennell
416236,Martin Short
416236,Joan Plowright
1606378,Cole Hauser
1606378,Bruce Willis
1606378,Megalyn Echikunwoke
317705,Craig T. Nelson
317705,Holly Hunter
317705,Lou Romano
112760,Frank Langella
112760,Christopher Masterson
112760,Matthew Modine
814255,Rosario Dawson
814255,Logan Lerman
814255,Steve Coogan
119654,Rip Torn
119654,Will Smith
119654,Linda Fiorentino
120363,John Ratzenberger
120363,Tom Hanks
120363,Wayne Knight
477080,Rosario Dawson
477080,Denzel Washington
477080,Ethan Suplee
266915,John Lone
266915,Mei Melançon
266915,Harris Yulin
161081,Amber Valletta
161081,Harrison Ford
161081,Miranda Otto
844471,Bobb'e J. Thompson
844471,Will Forte
844471,Al Roker
1080016,Maile Flanagan
1080016,Denis Leary
1080016,Kelly Keaton
359950,Adrian Martinez
359950,Adam Scott
359950,Joey Slotnick
160127,LL Cool J
160127,Bill Murray
160127,Kelly Lynch
407887,Matt Damon
407887,Leonardo DiCaprio
407887,Ray Winstone
120762,Harvey Fierstein
120762,Ming-Na Wen
120762,June Foray
942385,Steve Coogan
942385,Robert Downey Jr.
942385,Brandon T. Jackson
1568346,Goran Visnjic
1568346,Robin Wright
1568346,Joely Richardson
112864,Aldis Hodge
112864,Bruce Willis
112864,Kevin Chamberlin
988045,Eddie Marsan
988045,Robert Downey Jr.
988045,Robert Maillet
230011,Jim Varney
230011,Leonard Nimoy
230011,Cree Summer
2974918,Joshua Mikel
2974918,Bella Thorne
2974918,Jesse McCartney
985699,Tom Wilkinson
985699,Tom Cruise
985699,Thomas Kretschmann
960144,Sayed Badreya
960144,Adam Sandler
960144,Kevin Nealon
2120120,Adam Sandler
2120120,Peter Dinklage
2120120,Josh Gad
212720,William Hurt
212720,Haley Joel Osment
212720,Kevin Sussman
338094,Rachael Harris
338094,Marsha Thomason
338094,Marc John Jefferies
118884,Tom Skerritt
118884,Matthew McConaughey
118884,Larry King
164052,Kim Dickens
164052,Greg Grunberg
164052,Joey Slotnick
373926,George Harris
373926,Curtiss Cook
373926,Michael Wright
1854564,Leven Rambin
1854564,Logan Lerman
1854564,Brandon T. Jackson
325703,Angelina Jolie Pitt
325703,Gerard Butler
325703,Djimon Hounsou
3110958,Morgan Freeman
3110958,Daniel Radcliffe
3110958,Sanaa Lathan
120053,Michael Byrne
120053,Alun Armstrong
